Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.1858    -334.6001       3.4143   361.8
0.0010        -331.1866    -334.5302       3.3436   354.3
0.0015        -331.1846    -334.3787       3.1941   338.5
0.0020        -331.1812    -334.1807       2.9995   317.9
0.0025        -331.1776    -333.9938       2.8162   298.5
0.0030        -331.1752    -333.8748       2.6997   286.1
0.0035        -331.1744    -333.8543       2.6800   284.0
0.0040        -331.1746    -333.9272       2.7526   291.7
0.0045        -331.1742    -334.0652       2.8910   306.4
0.0050        -331.1735    -334.2363       3.0628   324.6
0.0055        -331.1727    -334.4064       3.2337   342.7
0.0060        -331.1720    -334.5373       3.3653   356.6
0.0065        -331.1702    -334.5916       3.4214   362.6
0.0070        -331.1662    -334.5522       3.3860   358.8
0.0075        -331.1597    -334.4413       3.2816   347.8
0.0080        -331.1522    -334.3207       3.1685   335.8
0.0085        -331.1461    -334.2665       3.1203   330.7
0.0090        -331.1434    -334.3307       3.1873   337.8
0.0095        -331.1436    -334.5119       3.3682   357.0
0.0100        -331.1454    -334.7574       3.6120   382.8
0.0105        -331.1468    -334.9920       3.8452   407.5
0.0110        -331.1464    -335.1517       4.0053   424.5
0.0115        -331.1455    -335.2049       4.0594   430.2
0.0120        -331.1435    -335.1517       4.0082   424.8
0.0125        -331.1428    -335.0214       3.8786   411.0
0.0130        -331.1428    -334.8507       3.7079   393.0
0.0135        -331.1441    -334.6733       3.5293   374.0
0.0140        -331.1456    -334.5147       3.3691   357.0
0.0145        -331.1468    -334.3992       3.2524   344.7
0.0150        -331.1489    -334.3516       3.2028   339.4
0.0155        -331.1522    -334.3830       3.2307   342.4
0.0160        -331.1572    -334.4818       3.3246   352.3
0.0165        -331.1625    -334.6159       3.4533   366.0
0.0170        -331.1677    -334.7466       3.5789   379.3
0.0175        -331.1731    -334.8443       3.6712   389.1
0.0180        -331.1776    -334.8901       3.7124   393.4
0.0185        -331.1818    -334.8838       3.7020   392.3
0.0190        -331.1869    -334.8420       3.6552   387.4
0.0195        -331.1932    -334.7827       3.5895   380.4
0.0200        -331.2004    -334.7131       3.5127   372.3
0.0205        -331.2074    -334.6323       3.4248   363.0
0.0210        -331.2129    -334.5454       3.3324   353.2
0.0215        -331.2178    -334.4769       3.2591   345.4
0.0220        -331.2239    -334.4590       3.2351   342.8
0.0225        -331.2324    -334.5017       3.2693   346.5
0.0230        -331.2424    -334.5790       3.3367   353.6
0.0235        -331.2527    -334.6425       3.3899   359.3
0.0240        -331.2605    -334.6489       3.3884   359.1
0.0245        -331.2667    -334.5865       3.3198   351.8
0.0250        -331.2713    -334.4730       3.2017   339.3
0.0255        -331.2747    -334.3511       3.0764   326.0
0.0260        -331.2792    -334.2727       2.9935   317.2
0.0265        -331.2854    -334.2707       2.9853   316.4
0.0270        -331.2930    -334.3442       3.0513   323.4
0.0275        -331.3009    -334.4664       3.1655   335.5
0.0280        -331.3080    -334.6046       3.2967   349.4
0.0285        -331.3144    -334.7401       3.4257   363.0
0.0290        -331.3214    -334.8668       3.5453   375.7
0.0295        -331.3303    -334.9776       3.6473   386.5
0.0300        -331.3390    -335.0566       3.7176   394.0
0.0305        -331.3480    -335.0916       3.7436   396.7
0.0310        -331.3565    -335.0830       3.7265   394.9
0.0315        -331.3649    -335.0496       3.6847   390.5
0.0320        -331.3748    -335.0160       3.6412   385.9
0.0325        -331.3862    -334.9938       3.6076   382.3
0.0330        -331.3993    -334.9764       3.5771   379.1
0.0335        -331.4118    -334.9421       3.5303   374.1
0.0340        -331.4227    -334.8804       3.4576   366.4
0.0345        -331.4323    -334.8063       3.3740   357.6
0.0350        -331.4424    -334.7513       3.3089   350.7
0.0355        -331.4537    -334.7394       3.2857   348.2
0.0360        -331.4663    -334.7745       3.3083   350.6
0.0365        -331.4793    -334.8421       3.3629   356.4
0.0370        -331.4923    -334.9220       3.4297   363.5
0.0375        -331.5061    -334.9955       3.4894   369.8
0.0380        -331.5198    -335.0420       3.5223   373.3
0.0385        -331.5332    -335.0502       3.5170   372.7
0.0390        -331.5451    -335.0252       3.4801   368.8
0.0395        -331.5572    -334.9943       3.4371   364.3
0.0400        -331.5709    -334.9854       3.4145   361.9
0.0405        -331.5859    -335.0070       3.4210   362.6
0.0410        -331.6020    -335.0483       3.4462   365.2
0.0415        -331.6176    -335.0871       3.4694   367.7
0.0420        -331.6337    -335.1075       3.4738   368.1
0.0425        -331.6491    -335.0997       3.4506   365.7
0.0430        -331.6638    -335.0656       3.4018   360.5
0.0435        -331.6783    -335.0174       3.3391   353.9
0.0440        -331.6929    -334.9684       3.2755   347.1
0.0445        -331.7083    -334.9252       3.2169   340.9
0.0450        -331.7231    -334.8853       3.1622   335.1
0.0455        -331.7376    -334.8456       3.1080   329.4
0.0460        -331.7502    -334.8058       3.0556   323.8
0.0465        -331.7621    -334.7796       3.0174   319.8
0.0470        -331.7739    -334.7880       3.0140   319.4
0.0475        -331.7874    -334.8450       3.0576   324.0
0.0480        -331.8025    -334.9408       3.1384   332.6
0.0485        -331.8182    -335.0407       3.2226   341.5
0.0490        -331.8332    -335.1029       3.2697   346.5
0.0495        -331.8464    -335.1027       3.2564   345.1
0.0500        -331.8563    -335.0507       3.1943   338.5
0.0505        -331.8663    -334.9936       3.1273   331.4
0.0510        -331.8781    -334.9774       3.0993   328.5
0.0515        -331.8919    -335.0156       3.1237   331.0
0.0520        -331.9061    -335.0884       3.1823   337.3
0.0525        -331.9201    -335.1660       3.2459   344.0
0.0530        -331.9334    -335.2249       3.2915   348.8
0.0535        -331.9465    -335.2547       3.3082   350.6
0.0540        -331.9592    -335.2523       3.2931   349.0
0.0545        -331.9715    -335.2188       3.2474   344.1
0.0550        -331.9830    -335.1640       3.1810   337.1
0.0555        -331.9938    -335.1068       3.1130   329.9
0.0560        -332.0046    -335.0699       3.0654   324.9
0.0565        -332.0159    -335.0705       3.0547   323.7
0.0570        -332.0274    -335.1117       3.0842   326.9
0.0575        -332.0406    -335.1838       3.1432   333.1
0.0580        -332.0533    -335.2638       3.2105   340.2
0.0585        -332.0658    -335.3311       3.2653   346.1
0.0590        -332.0777    -335.3747       3.2970   349.4
0.0595        -332.0891    -335.3947       3.3055   350.3
0.0600        -332.0998    -335.4008       3.3010   349.8
