       Step     Time          Energy         fmax
GPMin:    0 20:57:46       -4.287549        0.3750
GPMin:    1 20:57:51       -4.433256        0.0779
GPMin:    2 20:57:57       -4.441822        0.0675
GPMin:    3 20:58:01       -4.449725        0.0333
GPMin:    4 20:58:06       -4.453524        0.0262
GPMin:    5 20:58:11       -4.459066        0.0225
GPMin:    6 20:58:16       -4.463289        0.0149
       Step     Time          Energy         fmax
GPMin:    0 20:58:29       -4.241022        0.2270
GPMin:    1 20:58:35       -4.352294        0.2154
GPMin:    2 20:58:41       -4.445961        0.2054
GPMin:    3 20:58:47       -4.515025        0.1292
GPMin:    4 20:58:53       -4.543023        0.0995
GPMin:    5 20:58:58       -4.592058        0.1107
GPMin:    6 20:59:03       -4.655291        0.1277
GPMin:    7 20:59:08       -4.723949        0.1310
GPMin:    8 20:59:14       -4.780806        0.1242
GPMin:    9 20:59:19       -4.820299        0.0953
GPMin:   10 20:59:25       -4.846432        0.0980
GPMin:   11 20:59:30       -4.867523        0.0846
GPMin:   12 20:59:35       -4.888504        0.0591
GPMin:   13 20:59:39       -4.903070        0.0494
GPMin:   14 20:59:43       -4.911845        0.0493
GPMin:   15 20:59:47       -4.920430        0.0514
GPMin:   16 20:59:52       -4.926855        0.0362
GPMin:   17 20:59:56       -4.930846        0.0179
       Step     Time          Energy         fmax
GPMin:    0 21:00:04       -4.239442        0.5512
GPMin:    1 21:00:08       -4.457354        0.0797
GPMin:    2 21:00:18       -4.467586        0.0177
       Step     Time          Energy         fmax
GPMin:    0 21:00:26       -4.241022        0.2270
GPMin:    1 21:00:31       -4.352298        0.2154
GPMin:    2 21:00:37       -4.445967        0.2054
GPMin:    3 21:00:42       -4.515029        0.1292
GPMin:    4 21:00:47       -4.543024        0.0995
GPMin:    5 21:00:52       -4.592063        0.1107
GPMin:    6 21:00:56       -4.655299        0.1277
GPMin:    7 21:01:01       -4.723957        0.1310
GPMin:    8 21:01:06       -4.780812        0.1242
GPMin:    9 21:01:11       -4.820301        0.0953
GPMin:   10 21:01:16       -4.846434        0.0980
GPMin:   11 21:01:21       -4.867526        0.0846
GPMin:   12 21:01:26       -4.888506        0.0591
GPMin:   13 21:01:30       -4.903071        0.0494
GPMin:   14 21:01:34       -4.911846        0.0493
GPMin:   15 21:01:39       -4.920431        0.0514
GPMin:   16 21:01:43       -4.926856        0.0362
GPMin:   17 21:01:47       -4.930846        0.0179
       Step     Time          Energy         fmax
GPMin:    0 21:01:55       -4.463980        0.0696
GPMin:    1 21:02:05       -4.466942        0.0267
GPMin:    2 21:02:15       -4.470150        0.0624
GPMin:    3 21:02:21       -4.473763        0.1171
GPMin:    4 21:02:26       -4.506565        0.0880
GPMin:    5 21:02:31       -4.559720        0.1200
GPMin:    6 21:02:36       -4.636788        0.1404
GPMin:    7 21:02:40       -4.720599        0.1443
GPMin:    8 21:02:45       -4.792765        0.1223
GPMin:    9 21:02:49       -4.833739        0.0779
GPMin:   10 21:02:54       -4.851346        0.0979
GPMin:   11 21:02:59       -4.877484        0.1114
GPMin:   12 21:03:03       -4.901074        0.0663
GPMin:   13 21:03:08       -4.919925        0.0507
GPMin:   14 21:03:13       -4.931693        0.0263
GPMin:   15 21:03:17       -4.933595        0.0187
       Step     Time          Energy         fmax
GPMin:    0 21:03:25       -4.360272        0.5300
GPMin:    1 21:03:31       -4.563152        0.2332
GPMin:    2 21:03:36       -4.624185        0.1808
GPMin:    3 21:03:42       -4.673024        0.1328
GPMin:    4 21:03:47       -4.716895        0.1344
