       Step     Time          Energy         fmax
GPMin:    0 19:48:25       -3.184156        1.3161
GPMin:    1 19:48:31       -3.975554        0.6187
GPMin:    2 19:48:37       -4.262542        0.3151
GPMin:    3 19:48:43       -4.365488        0.2021
GPMin:    4 19:48:48       -4.396263        0.2014
GPMin:    5 19:48:54       -4.478180        0.1838
GPMin:    6 19:49:00       -4.484630        0.1724
GPMin:    7 19:49:04       -4.489327        0.1655
GPMin:    8 19:49:11       -4.501697        0.3469
GPMin:    9 19:49:17       -4.532391        0.1406
GPMin:   10 19:49:23       -4.557939        0.0980
GPMin:   11 19:49:28       -4.573285        0.1052
GPMin:   12 19:49:33       -4.586416        0.1049
GPMin:   13 19:49:38       -4.607931        0.0965
GPMin:   14 19:49:43       -4.630229        0.0895
GPMin:   15 19:49:48       -4.648788        0.0818
GPMin:   16 19:49:53       -4.667773        0.0725
GPMin:   17 19:49:58       -4.683687        0.0650
GPMin:   18 19:50:03       -4.696638        0.0578
GPMin:   19 19:50:08       -4.712246        0.0528
GPMin:   20 19:50:13       -4.724926        0.0506
GPMin:   21 19:50:18       -4.738751        0.0502
GPMin:   22 19:50:23       -4.751581        0.0576
GPMin:   23 19:50:28       -4.764598        0.0646
GPMin:   24 19:50:32       -4.777778        0.0650
GPMin:   25 19:50:37       -4.790800        0.0528
GPMin:   26 19:50:42       -4.802171        0.0477
GPMin:   27 19:50:46       -4.812520        0.0545
GPMin:   28 19:50:52       -4.820968        0.0588
GPMin:   29 19:50:58       -4.831575        0.0616
GPMin:   30 19:51:04       -4.843806        0.0613
GPMin:   31 19:51:08       -4.856840        0.0574
GPMin:   32 19:51:14       -4.869057        0.0500
GPMin:   33 19:51:19       -4.877193        0.0422
GPMin:   34 19:51:23       -4.881238        0.0445
GPMin:   35 19:51:28       -4.884028        0.0411
GPMin:   36 19:51:32       -4.885101        0.0329
GPMin:   37 19:51:38       -4.887976        0.0411
GPMin:   38 19:51:44       -4.888396        0.0385
GPMin:   39 19:51:48       -4.889578        0.0184
       Step     Time          Energy         fmax
GPMin:    0 19:51:58       -3.234629        1.3185
GPMin:    1 19:52:05       -3.939515        0.6042
GPMin:    2 19:52:11       -4.197867        0.3031
GPMin:    3 19:52:17       -4.294483        0.1938
GPMin:    4 19:52:22       -4.325979        0.1775
GPMin:    5 19:52:28       -4.386549        0.1889
GPMin:    6 19:52:32       -4.398797        0.1938
GPMin:    7 19:52:38       -4.498856        0.1825
GPMin:    8 19:52:44       -4.500858        0.2154
GPMin:    9 19:52:50       -4.520715        0.1957
GPMin:   10 19:52:55       -4.599965        0.1573
GPMin:   11 19:53:01       -4.631083        0.1330
GPMin:   12 19:53:06       -4.667928        0.1301
GPMin:   13 19:53:12       -4.698248        0.1351
GPMin:   14 19:53:17       -4.729041        0.1276
GPMin:   15 19:53:21       -4.762392        0.1051
GPMin:   16 19:53:26       -4.793017        0.1151
GPMin:   17 19:53:32       -4.820865        0.1132
GPMin:   18 19:53:37       -4.844605        0.1014
GPMin:   19 19:53:42       -4.865660        0.0866
GPMin:   20 19:53:46       -4.884627        0.0724
GPMin:   21 19:53:51       -4.898068        0.0572
GPMin:   22 19:53:55       -4.907431        0.0464
GPMin:   23 19:54:00       -4.914309        0.0425
GPMin:   24 19:54:04       -4.920403        0.0394
GPMin:   25 19:54:09       -4.925497        0.0471
GPMin:   26 19:54:13       -4.929368        0.0338
GPMin:   27 19:54:17       -4.931237        0.0206
GPMin:   28 19:54:22       -4.932106        0.0272
GPMin:   29 19:54:26       -4.933009        0.0200
       Step     Time          Energy         fmax
