      Step     Time          Energy         fmax
BFGS:    0 22:49:29       15.471734       44.8433
BFGS:    1 22:49:29        2.872480       17.9673
BFGS:    2 22:49:29       -1.167628       10.2703
BFGS:    3 22:49:29       -3.632281        4.2432
BFGS:    4 22:49:29       -4.186971        2.4878
BFGS:    5 22:49:29       -4.527595        0.8971
BFGS:    6 22:49:29       -4.599679        0.5814
BFGS:    7 22:49:29       -4.624318        0.5830
BFGS:    8 22:49:29       -4.645871        0.5737
BFGS:    9 22:49:29       -4.688836        0.6253
BFGS:   10 22:49:29       -4.733726        0.6842
BFGS:   11 22:49:29       -4.773889        0.5877
BFGS:   12 22:49:29       -4.828208        0.6297
BFGS:   13 22:49:29       -4.840670        0.4467
BFGS:   14 22:49:29       -4.848710        0.2845
BFGS:   15 22:49:29       -4.871223        0.2687
BFGS:   16 22:49:29       -4.880882        0.3266
BFGS:   17 22:49:29       -4.887851        0.4013
BFGS:   18 22:49:29       -4.906898        0.5506
BFGS:   19 22:49:29       -4.929993        0.6359
BFGS:   20 22:49:29       -4.955848        0.4906
BFGS:   21 22:49:29       -4.974110        0.3290
BFGS:   22 22:49:29       -4.980124        0.3221
BFGS:   23 22:49:29       -4.999322        0.2799
BFGS:   24 22:49:29       -5.023037        0.3112
BFGS:   25 22:49:29       -5.038534        0.4861
BFGS:   26 22:49:29       -5.048684        0.5259
BFGS:   27 22:49:29       -5.071063        0.6198
BFGS:   28 22:49:29       -5.120836        0.6330
BFGS:   29 22:49:29       -5.170818        0.8172
BFGS:   30 22:49:29       -5.189564        0.9295
BFGS:   31 22:49:29       -5.255187        0.6967
BFGS:   32 22:49:29       -5.320861        0.6044
BFGS:   33 22:49:29       -5.361103        0.6073
BFGS:   34 22:49:29       -5.383873        0.5060
BFGS:   35 22:49:29       -5.399021        0.5042
BFGS:   36 22:49:29       -5.459174        0.4493
BFGS:   37 22:49:29       -5.473747        0.4207
BFGS:   38 22:49:29       -5.498405        0.4583
BFGS:   39 22:49:29       -5.516717        0.5221
