       Step     Time          Energy         fmax
GPMin:    0 23:35:35       -5.454166        0.3220
GPMin:    1 23:35:42       -5.566246        0.1692
GPMin:    2 23:35:49       -5.626821        0.0987
GPMin:    3 23:35:56       -5.652210        0.0582
GPMin:    4 23:36:02       -5.661592        0.0231
GPMin:    5 23:36:08       -5.663973        0.0214
GPMin:    6 23:36:13       -5.666553        0.0232
GPMin:    7 23:36:20       -5.672560        0.0275
GPMin:    8 23:36:35       -5.681258        0.0891
GPMin:    9 23:36:49       -5.683901        0.0745
GPMin:   10 23:37:05       -5.685883        0.0685
GPMin:   11 23:37:34       -5.693589        0.1031
GPMin:   12 23:37:40       -5.704719        0.0490
GPMin:   13 23:37:46       -5.712818        0.0615
GPMin:   14 23:37:53       -5.719621        0.0635
GPMin:   15 23:37:59       -5.731373        0.0661
GPMin:   16 23:38:06       -5.745675        0.0612
GPMin:   17 23:38:12       -5.759909        0.0540
GPMin:   18 23:38:19       -5.773698        0.0538
GPMin:   19 23:38:25       -5.792033        0.0561
GPMin:   20 23:38:32       -5.811927        0.0660
GPMin:   21 23:38:38       -5.834334        0.0743
GPMin:   22 23:38:45       -5.856763        0.0589
GPMin:   23 23:38:51       -5.867408        0.0299
GPMin:   24 23:38:57       -5.869895        0.0254
GPMin:   25 23:39:03       -5.872281        0.0169
       Step     Time          Energy         fmax
GPMin:    0 23:39:14       -5.354107        0.4468
GPMin:    1 23:39:22       -5.516239        0.1562
GPMin:    2 23:39:29       -5.576037        0.1181
GPMin:    3 23:39:35       -5.634986        0.0834
GPMin:    4 23:39:42       -5.660589        0.0544
GPMin:    5 23:39:47       -5.669040        0.0495
GPMin:    6 23:39:54       -5.680082        0.0438
GPMin:    7 23:40:07       -5.680441        0.0660
GPMin:    8 23:40:21       -5.683468        0.0464
GPMin:    9 23:40:51       -5.685507        0.0371
GPMin:   10 23:41:07       -5.691826        0.1465
GPMin:   11 23:41:30       -5.703037        0.0677
GPMin:   12 23:41:44       -5.709865        0.0523
GPMin:   13 23:41:50       -5.712621        0.0467
GPMin:   14 23:41:56       -5.715977        0.0290
