       Step     Time          Energy         fmax
GPMin:    0 22:51:57       -4.296844        1.5207
GPMin:    1 22:52:03       -5.328132        0.7165
GPMin:    2 22:52:08       -5.724866        0.3073
GPMin:    3 22:52:14       -5.856744        0.0961
GPMin:    4 22:52:20       -5.872976        0.0180
       Step     Time          Energy         fmax
GPMin:    0 22:52:30       -3.969888        1.4099
GPMin:    1 22:52:37       -4.951653        0.6849
GPMin:    2 22:52:44       -5.337958        0.3198
GPMin:    3 22:52:51       -5.478280        0.1307
GPMin:    4 22:52:58       -5.504185        0.0462
GPMin:    5 22:53:04       -5.505462        0.0463
GPMin:    6 22:53:10       -5.518786        0.0473
GPMin:    7 22:53:16       -5.524618        0.0495
GPMin:    8 22:53:23       -5.540320        0.2296
GPMin:    9 22:53:29       -5.565905        0.1081
GPMin:   10 22:53:43       -5.574547        0.0601
GPMin:   11 22:53:51       -5.577506        0.1033
GPMin:   12 22:53:58       -5.605524        0.0703
GPMin:   13 22:54:03       -5.609193        0.0702
GPMin:   14 22:54:11       -5.632238        0.0771
GPMin:   15 22:54:18       -5.657808        0.0830
GPMin:   16 22:54:23       -5.676584        0.0915
GPMin:   17 22:54:29       -5.705434        0.0921
GPMin:   18 22:54:35       -5.741192        0.0920
GPMin:   19 22:54:41       -5.770046        0.0945
GPMin:   20 22:54:47       -5.798878        0.0933
GPMin:   21 22:54:54       -5.825215        0.0837
GPMin:   22 22:55:00       -5.848171        0.0723
GPMin:   23 22:55:07       -5.862928        0.0494
GPMin:   24 22:55:12       -5.868042        0.0291
GPMin:   25 22:55:18       -5.869595        0.0291
GPMin:   26 22:55:23       -5.870843        0.0296
GPMin:   27 22:55:28       -5.871771        0.0236
GPMin:   28 22:55:33       -5.872481        0.0220
GPMin:   29 22:55:38       -5.873231        0.0120
       Step     Time          Energy         fmax
GPMin:    0 22:55:48       -4.299418        1.5255
GPMin:    1 22:55:53       -5.329795        0.7171
GPMin:    2 22:55:59       -5.725851        0.3072
GPMin:    3 22:56:05       -5.857228        0.0944
GPMin:    4 22:56:10       -5.873169        0.0161
       Step     Time          Energy         fmax
GPMin:    0 22:56:23       -3.859417        1.3835
GPMin:    1 22:56:32       -4.678101        0.6040
GPMin:    2 22:56:39       -4.968200        0.3566
GPMin:    3 22:56:47       -5.080270        0.2359
GPMin:    4 22:56:54       -5.117413        0.1505
GPMin:    5 22:57:00       -5.132620        0.1227
GPMin:    6 22:57:07       -5.169939        0.1129
GPMin:    7 22:57:13       -5.184719        0.1143
GPMin:    8 22:57:20       -5.233823        0.1450
GPMin:    9 22:57:27       -5.278828        0.1819
GPMin:   10 22:57:33       -5.321891        0.1517
GPMin:   11 22:57:39       -5.365788        0.1561
GPMin:   12 22:57:46       -5.401316        0.1728
GPMin:   13 22:57:52       -5.437890        0.1860
GPMin:   14 22:57:59       -5.483981        0.1883
GPMin:   15 22:58:05       -5.533744        0.1677
GPMin:   16 22:58:12       -5.572893        0.1248
GPMin:   17 22:58:17       -5.592200        0.0719
GPMin:   18 22:58:23       -5.600960        0.0693
GPMin:   19 22:58:29       -5.607455        0.0638
GPMin:   20 22:58:34       -5.613693        0.0598
GPMin:   21 22:58:40       -5.617302        0.0587
GPMin:   22 22:58:46       -5.624081        0.0595
GPMin:   23 22:58:51       -5.631088        0.0662
GPMin:   24 22:58:57       -5.639993        0.0598
GPMin:   25 22:59:03       -5.650276        0.0588
GPMin:   26 22:59:08       -5.663193        0.0664
GPMin:   27 22:59:15       -5.677686        0.0755
GPMin:   28 22:59:21       -5.692491        0.0778
GPMin:   29 22:59:27       -5.706731        0.0675
GPMin:   30 22:59:33       -5.715925        0.0456
GPMin:   31 22:59:39       -5.720070        0.0284
GPMin:   32 22:59:45       -5.722031        0.0342
GPMin:   33 22:59:50       -5.722941        0.0284
GPMin:   34 22:59:56       -5.723636        0.0215
GPMin:   35 23:00:00       -5.724124        0.0195
       Step     Time          Energy         fmax
GPMin:    0 23:00:11       -3.958914        1.4114
GPMin:    1 23:00:19       -4.946166        0.6853
GPMin:    2 23:00:26       -5.334893        0.3208
GPMin:    3 23:00:33       -5.476861        0.1349
GPMin:    4 23:00:39       -5.504042        0.0488
GPMin:    5 23:00:45       -5.505480        0.0463
GPMin:    6 23:00:51       -5.517594        0.0467
GPMin:    7 23:00:57       -5.523430        0.0481
GPMin:    8 23:01:04       -5.542658        0.2280
GPMin:    9 23:01:11       -5.566802        0.1058
GPMin:   10 23:01:25       -5.574132        0.0537
GPMin:   11 23:01:40       -5.602266        0.0765
GPMin:   12 23:01:45       -5.605345        0.0743
GPMin:   13 23:01:51       -5.623807        0.0609
GPMin:   14 23:01:57       -5.633954        0.0623
GPMin:   15 23:02:03       -5.652902        0.0724
GPMin:   16 23:02:09       -5.677537        0.0765
GPMin:   17 23:02:14       -5.707346        0.0795
GPMin:   18 23:02:20       -5.738320        0.0917
